he_word,en_word
עשיתי,i did
בכלל,at all
דקות,subtlety
חייבת,must
שלכם,your
בשבילך,for you
אמור,supposed
מספר,number
מכיר,knows
ללא,without
מחר,tomorrow
לספר,tell
גברת,madam
לחזור,return
בעיה,problem
רע,bad
בא,coming
נלך,let's go.
משנה,sub
ידעתי,i knew
מתי,when
חייבים,must
סוף,end
החיים,life
להרוג,kill
הן,they
ממך,from you
חלק,part
מאמין,believer
בחור,guy
בחייך,come on.
במקום,instead of
גבר,man
זוכר,remember
הולכת,going
הגיע,arrived
הכול,everything
תעשה,do
מקווה,hope
לב,heart
בחיים,alive
הבית,the house
המקום,the place
ידי,my hands
חיים,life
כל-כך,so much
איש,man
תוכל,you will be able to
כנראה,probably
האנשים,the people
כאשר,when
היינו,we were
לבד,felt
כמעט,almost
עלי,pestle
מניח,i guess
הכסף,the money
נעשה,done
לילה,night
ע,a
למעשה,actually
דולר,dollar
שנה,year
שמעתי,i heard
תראי,look
בטוחה,safe
לגמרי,completely
החוצה,out
ילדים,children
קטן,small
הדברים,the things
חשוב,important
בין,between
שמח,happy
הבא,next
הראשון,the first
לבוא,come
לחשוב,think
הדרך,the way
מאז,since
בחזרה,back
אמרה,saying
מאוחר,late
קודם,previous
העבודה,the work
אחרת,otherwise
מגיע,coming
להגיע,reach
בה,in it
מבינה,understands
ברור,clear
עצמך,yourself
בהחלט,definitely
לאחר,after
כלומר,i.e
השני,the second
יחד,together
אוי,oh
במשך,during
לפחות,at least
לשמוע,hear
אהיה,i will be
מוזר,odd
ברגע,in a moment
לעבוד,work
אליי,to me
וואו,wow
אישה,woman
כעת,now
אליך,to you
העולם,the world
יופי,beauty
שלוש,three
מהם,from whom
הערב,tonight
אתמול,yesterday
הספר,the book
ואם,and if
הראשונה,the first
אתן,you
ספר,book
חדש,new
מושג,idea
בוקר,morning
שעות,hours
לבית,nee
מזל,luck
להביא,bring
בחוץ,outside
ון,van
למטה,down
בשבילי,for me
אלא,but
חברים,friends
היכן,where
למעלה,up
כ,about
כולנו,all of us
מקרה,case
ראית,did you see?
ביחד,together
שהיה,that was
עלינו,about us
להישאר,to stay
ערב,evening
כרגע,right now
בני,my son
בלילה,at night
תקשיב,listen.
אלו,these
האחרון,the last one
קשר,link
באופן,in a way
ביום,on the day
בקשר,in touch
אעשה,i will do
בת,daughter
איתה,with her
ימים,days
מקבל,accepting
ומה,and what?
בתוך,within
השם,the name
האיש,the man
תפסיק,stop it.
לשאול,ask
והיא,and she
הילד,the child
ועכשיו,and now
מדוע,why
קח,take
יקרה,dear
סוג,type
ממנו,from him
עליה,rise
העיר,the city
העניין,the matter
הפעם,this time
החבר,boyfriend
הבעיה,the problem
האחרונה,the last one
שיהיה,let it be
היחיד,the only one
האלו,these
לפעמים,sometimes
רעיון,idea
כפי,as
חזרה,return
למען,address
בעוד,while
עומד,standing
שבו,sit down
אלי,eli
בנאדם,man
טובים,good
חרא,shit
אליו,to him
מיד,immediately
משחק,play
צודק,right
בפעם,for the time being
הלו,hello
להיכנס,to enter
עצמי,myself
בעולם,in the world
תורגם,translated
קטנה,small
תני,give
בלתי,non
איזו,which one
לאכול,eat
לעזוב,leave
תראו,look.
בפנים,in
לשמור,reserve
יהיו,there will be
גדולה,greatness
לעצור,stop
שלושה,three
קל,easy
הילדים,the children
להשיג,achieve
הדלת,the door
הרגע,the moment
אימא,mother
להבין,understand
בחדר,in the room
חזק,strong
נורא,terrible
הי,hey
רבה,raba
הסיבה,the reason
מחוץ,outside
הבן,the son
יכולתי,i could
וגם,also
לכן,so
מתכוונת,i mean
אתכם,you
היחידה,the unit
אמיתי,real
סתם,mere
מרגישה,feeling
האדם,the person
שאתם,that you are
אומרים,they say
חוץ,outside
למות,die
רב,multi
ראש,head
נו,well
להתראות,goodbye
אדירים,awesome
קרוב,close
שתי,warp
מתה,dead
גרוע,bad
לוקח,takes
מכל,tank
נראית,looks
פנים,face
להשתמש,use
קוראים,readers
חברה,company
ממה,from what?
הראש,the head
מדהים,stunning
ילדה,girl
המשפחה,the family
והם,and they
מצחיק,funny
חושבים,thinking
קיבלתי,i received
מצאתי,i found
נגד,against
לעבור,pass
ליד,near
שאין,that there is no
החברה,the company
לקרוא,read
לחיות,live
מוכנה,ready
חמש,five
עלייך,about you
א,a
חיי,my life
פחות,less
באותו,at the same time
מפה,map
הבנתי,i understand.
לנסות,try
ביי,bye
ארוחת,meal
אבי,my father
נגמר,finished
שהייתי,i was
בשם,fragrance
הבוקר,this morning
יוצא,outgoing
מדברים,talking
לשחק,play
אחרים,others
לפגוש,meet
דם,blood
פעמים,times
לנצח,win
תחת,under
חודשים,months
הבאה,next
להתחיל,begin
ואנחנו,and we
הטוב,the good
לגרום,cause
הא,huh?
סיכוי,chance
להמשיך,continue
לישון,sleep
שמעת,did you hear?
אהבה,love
שמישהו,someone
זונה,whore
שעה,time
נהיה,yearning
מאשר,than
הגדול,the big one
אותן,them
חצי,half
בקרוב,soon
תגידי,say
סיבה,reason
ס,s
מחדש,re
לבדוק,check
נשים,women
חכי,wait.
כשאני,when I
מאמינה,believes
מגניב,cool
בבוקר,in the morning
שכל,mind
מדברת,speaking
לחכות,wait
מתחיל,starting
פרק,chapter
לכך,for this
שאלה,question
לקח,lesson
צוחק,laughing
בנוגע,regarding
לשים,put
מכירה,sale
נותן,gives
אלך,i will go.
חי,live
מעט,few
המכונית,the car
התכוונתי,i meant
חדשות,news
צוות,team
משפחה,family
זקוק,need
מתחת,underneath
להציל,save
גמור,finished
הזדמנות,opportunity
מטורף,crazy
שונה,different
כאלה,such
מעולה,excellent
וכל,and all
ויש,and there is
בתור,as a
לפי,according to
ניסיתי,i tried
סיפור,story
בערך,about
מים,water
לתוך,into
תסתכל,look.
דעתך,your opinion
זוכרת,remember
יין,wine
שאם,that if
להרגיש,feel
חוזר,circular
עזרה,help
רציני,serious
עונה,season
שלומך,how are you?
אפשרי,possible
מחפש,looking for
הסיפור,the story
חתיכת,piece
שכן,neighbor
המפקד,the commander
מעל,above
הלך,wayfarer
מלא,full
שאולי,maybe
אנג,ang
בצורה,in the form
שומע,hear
נכנס,incoming
להפסיק,stop
החדש,the new
שווה,equal
עניין,interest
פנימה,inside
כיף,fun
חדר,room
חסר,short
ורג,verg
כמוך,like you
ראשון,first
אסור,forbidden
לקנות,buy
מאד,very
להתקשר,contact
מייקל,michael
בהם,in them
בעבר,in the past
ראה,see
להראות,show
מצב,situation
ברצינות,seriously
נתראה,see you later.
נפלא,wonderful
מוקדם,early
אינך,you are not
שתיים,two
תדאג,take care.
להגן,protect
כלל,rule
מאיתנו,from us
בחורה,girl
בנות,girls
עבר,past
במה,stage
טעות,mistake
משם,from there
הטלפון,the phone
רצה,wanted
שקרה,what happened?
שזו,this is
להוציא,spend
כה,so
עצמו,himself
המצב,the situation
למרות,despite
הקטן,the little one
עצור,stop
מיליון,million
אקח,i will take
מסוגל,able
להאמין,believe
במקרה,in case
ידע,knowledge
שבוע,week
איתנו,with us
נוסף,additional
חדשה,new
רצח,murder
אמרו,they said
איני,am not
כוח,power
גברתי,madam
גורם,factor
עליהם,on them
לעבודה,for work
מוכנים,ready
ידעת,did you know?
מאחורי,behind me
ים,sea
האישה,the woman
הכבוד,honor
מידע,information
שאלות,questions
לכי,go
דין,law
בצד,aside
נעים,pleasant
כשאתה,when you
באתי,i came
מפני,because
מבטיח,promising
קשור,related
כשהוא,when he
כדור,ball
שאמרתי,i said
בחיי,in my life
שמחה,joy
קורא,reader
נתן,given
מעבר,transition
תוכלי,you can
מס,tax
חולה,patient
שונא,hater
לפה,to the mouth
המשטרה,police
במיוחד,especially
ימי,maritime
שאוכל,that I may
קפטן,caftan
מעניין,interesting
יצא,came out
לאנשים,for people
גברים,men
אשר,which
ניתן,given
בכך,thereby
ככל,as much as
בעיות,problems
מושלם,perfect
על-ידי,by
בעלי,my husband
לשתות,drink
אראה,i will see
בעל,husband
הלא,the non-
אגיד,i will say
אוהבים,love
לקרות,happen
שרה,sarah
מין,sex
להכיר,recognize
ארבע,four
אלף,thousand
להתמודד,to deal with
מניחה,assumes
למקום,to the place
קפה,coffee
הבחורה,the girl
אינו,ino
מייק,mike
יי,yi
ישר,straight
לשבת,sit
לעצמי,for myself
בראש,in the head
אידיוט,idiot
מחכה,waiting
תקשיבי,listen.
נשאר,remaining
פיטר,peter
הבת,the daughter
אלייך,to you
שניכם,both of you
עובדת,working
לשלם,pay
מן,from
תוך,within
לטפל,handle
לזוז,move
המשחק,the game
באה,came
עשר,ten
לדאוג,worry
פרנק,franc
שצריך,necessary
אש,fire
ללמוד,learn
תהיי,be
למי,whom
מאיפה,from where?
לעצמך,for yourself
ממנה,from her
הלב,the heart
לג,to the leg
מתוקה,sweetheart
רוח,wind
למישהו,to someone
חג,holiday
הנשיא,the President
ספק,supplier
דוקטור,doctor
התחת,ass
בעיר,in the city
המון,lots of
החולים,the patients
מוצא,exit
לחפש,search
לחלוטין,completely
שהיית,you were
הלוואי,i wish
רד,red
שמי,semitic
רחוק,far
התיק,the bag
ההוא,that
אנא,please
מילה,circumcision
חשבת,you thought
הללו,these
אמורה,amore
מול,opposite
אליה,to Elia
אצל,in
עשינו,we did
הפנים,the face
שוטר,policeman
שנינו,both of us
להחזיר,return
מערכת,system
מצוות,commandments
להודות,admit
שבועות,weeks
מתוך,of
לתפוס,catch
לפגוע,hurt
מיוחד,special
רוב,majority
לבחור,choose
ז,g
טיפש,fool
אלינו,to us
במצב,in the situation
אחזור,retrieval
תעשי,do it.
שמה,devastation
מכן,then
התינוק,the baby
שנוכל,that we can
להפוך,reverse
אח,brother
בחורים,boys
יורק,york
נעלם,unknown
רואים,see
טום,tom
מצוין,excellent
לגלות,discover
לכולם,for everyone
לחדר,to the room
היד,the hand
שמו,his name
בעצמי,myself
יכולת,ability
תחזור,come back.
הנכון,the right one
מתים,dead
טובות,good
אביך,hazy
אצטרך,i will need
להסביר,explain
מישהי,someone
הארץ,the country
שאמרת,you said
תביא,bring
איתם,with them
טלפון,phone
נצטרך,we will need
ייתכן,it is possible
שאנו,we
השנה,this year
ח,h
הדם,the blood
לשנות,change
חבל,rope
אינני,i am not
כבוד,respect
המשפט,the trial
המוות,death
רבים,many
צא,get out
באמצע,in the middle
יעשה,will do
סלח,forgive
יימס,james
נמצאת,is located
לרגע,for a moment
החלק,the part
להשאיר,leave
שניות,seconds
בנו,son
שנייה,second
חכם,sage
הודעה,message
פני,penny
מידי,from
ליצור,create
הגיוני,logical
תירגע,relax.
זין,dick
בעצמך,by yourself
לברוח,escape
בעצם,actually
לבן,white
האקדח,the gun
אכן,indeed
השבוע,this week
יד,hand
כולכם,all of you
הנרי,henry
מצפה,expecting
הרג,killing
אהבתי,i liked
בסוף,in the end
כלב,dog
מכם,radar
בשבוע,in the week
תרצה,would you like?
כזאת,such
ההורים,the parents
עוזר,assistant
לעמוד,stand
לאחרונה,recently
דקה,minute
לאף,to the nose
לאט,slowly
צעיר,young
ישנה,old
עובדים,workers
אופן,mode
צודקת,you are right.
גבוה,high
הקטנה,the little one
שקט,quiet
הילדה,the girl
ן,property
גב,back
הידיים,the hands
הקטע,the section
עדיף,preferable
אוקי,okay
ריצ,ritch
ישן,old
שעשית,that you did
סאם,sam
להסתכל,look
פי,times
מבקש,requesting
מסוכן,dangerous
מתוק,sweet
עשו,esau
תמשיך,continue
דוד,uncle
תוכנית,program
נשק,weapon
מתאים,appropriate
סקס,sex
דני,danish
תינוק,baby
סמים,drugs
עשתה,did
שש,six
מיס,miss
מצא,find
משוגע,crazy
חם,hot
המדינה,the country
ידיים,hands
נמצאים,are present
צורך,need
אקדח,gun
מחפשים,looking for
בכלא,in prison
אשתי,my wife
מוות,death
לסיים,finish
אהה,aha
עולה,rising
מעמד,status
עלול,might
לפתוח,open
הוד,glory
רצית,you wanted
לארוחת,for dinner
מקס,max
עבד,slave
כיצד,how
קול,voice
הלכתי,i went.
לבקש,ask
לחיים,for life
החברים,the friends
מצאת,you found
שב,sit down.
מנסים,trying
חמוד,cute
היטב,well
שיחה,call
תנו,give
בהצלחה,successfully
האמיתי,the real one
דיברתי,i spoke
אילו,which
ת,t
קווין,queen
רופא,doctor
הפה,the mouth
הרעיון,the idea
נדבר,let's talk.
יוכל,will be able
מאחור,behind
תחשוב,think
יעזור,will help
שניים,two
הבאתי,i brought
בשעה,at the time
האחרים,the others
שתהיה,there will be
שעשיתי,i did
תצטרך,you will need
חן,grace
לשלוח,send
לצפות,expect
לשעבר,former
אלכס,alex
למשטרה,to the police
מכונית,car
התחיל,started
מדובר,spoken
ריי,ray
החדשה,the new
יו,yu
אדון,sir
לחץ,pressure
אגב,incidentally
לירות,shoot
לתקן,repair
חזר,returned
שראיתי,i saw
שלח,send
עבורך,for you
שמונה,eight
נוספת,additional
אמורים,supposedly
משום,because
באים,coming
פול,pool
בוודאי,certainly
להחזיק,hold
מנהל,management
זוהי,this is
בעבודה,at work
תלוי,dependent
בינינו,between us
שטויות,nonsense
בסביבה,in the vicinity
תפסיקי,stop it.
המלך,the King
להילחם,fight
מצאנו,we found
נשבע,i swear
גאה,proud
תלך,go.
מפחד,afraid
המוח,the brain
גרם,gram
עובר,fetus
לכו,go
קיבל,received
נתתי,i gave
כלבה,bitch
מכיוון,from
ואל,val
ארבעה,four
מסתכל,looking
במשרד,in the office
אחותי,my sister
שאף,inhale
מסיבה,party
השאלה,the question
כמוני,like me
שעבר,past
התוכנית,the program
המים,the water
תדאגי,take care.
העיניים,the eyes
הוגן,fair
שתוכל,that you can
זקוקים,need
בקושי,barely
השאר,the rest
ניק,nick
עוזב,leaving
תמונה,image
בשנה,in the year
אתקשר,i will call.
סיפר,told
השנים,the years
קיבלת,you received
וסונכרן,and synchronize
החדר,the room
כשהייתי,when I was
בשקט,quietly
ועל,and on
מצליח,successful
שונאת,hates
במהלך,during
מפחיד,frightening
כואב,painful
גר,live
להעביר,transfer
עמוק,deep
שואל,asks
שכחתי,i forgot
חדשים,new
הבאים,the following
ניסה,tried
ודאי,certainly
זקוקה,needs
שחור,black
סימן,sign
הרגשתי,i felt
חיה,animal
לאל,to God
זוג,couple
הלאה,further
ארלי,early
ארוך,long
וג,and
לוודא,make sure
אישי,personal
חייך,smile
לנסוע,travel
אשמח,i would be happy.
אחורה,backwards
קחי,take it.
הגוף,the body
רלי,reli
הגדולה,the great
בערב,in the evening
יגיע,will arrive
שאומר,who says
מעדיף,would rather
צהריים,noon
עורך,editor
קר,cold
כרטיס,card
חכו,wait
נתחיל,let's begin.
שיכול,able
לבצע,perform
בטלפון,on the phone
מלאה,full
חופשי,free
ברירה,choice
שמע,audio
החוק,the law
סרט,film
תישאר,stay.
המולד,christmas
החרא,shit
סבתא,grandmother
באיזה,in which
לשום,for garlic
אן,anne
נהדרת,great
הנשק,the weapon
עומדים,standing
טועה,wrong
הרכב,composition
האל,god
נקרא,called
עסקים,business
סי,si
שמך,trout
יקירתי,my dear
האבא,the father
שים,put
בפני,in front of
ואין,and there is no
יאללה,come on
פגישה,meeting
עומדת,standing
מלחמה,war
סגן,lieutenant
שהיו,were
הצילו,sOS
במכונית,in the car
מתחילים,beginners
הבוס,the boss
פעמיים,twice
הצוות,the team
שג,shag
שון,sean
עבורי,for me
כאב,pain
הסרט,the movie
השנייה,the second
לקחתי,i took
אלן,alan
יוצאת,going out
תמונות,photos
הסוכן,the agent
ועוד,and more
הספינה,the ship
עיניים,eyes
הייתם,you were
שינוי,change
שומר,guard
כלי,tool
שבע,seven
הופך,becomes
הבנות,the girls
מכירים,familiar
האחרונים,the latest
להוכיח,prove
אנשי,people
סביב,around
לסמוך,rely
הקשר,connection
הסוף,the end
לכתוב,write
פעולה,action
בוב,bob
ביל,bill
עין,eye
כשהיא,when she
זוז,move
הצהריים,afternoon
לכלא,to prison
לואיס,louis
שליטה,control
עשוי,made
דניאל,daniel
מחזיק,holder
סיפרת,you told
ברחוב,on the street
לבנות,build
מקבלים,accept
חולים,patients
נזוז,let's move.
מציע,suggests
רוצח,killer
עשרה,ten
הדין,the law
המידע,the information
רי,ree
וני,vani
להכין,prepare
בלבד,only
אתך,with you
תוריד,take it down.
ישו,jesus
לעלות,cost
לאבד,lose
למכור,sell
שבה,where
בירה,beer
התקשר,call
מוכר,recognized
שגם,also
כתוב,written
הרוחות,the spirits
תמצא,you will find
בסופו,at the end
בוס,boss
אור,light
השעה,the time
החדשות,the news
עסוק,busy
שייך,belongs to
ראשונה,first
לענות,answer
סיימתי,i finished.
המילה,the word
כזו,such
הג,the
נחמדה,nice
מרי,disobedience
האהבה,the love
העובדה,the fact
שתוק,shut up
השולחן,the table
מעריך,appraiser
עולם,world
שניהם,both
להניח,assume
לבלות,spend
עלה,leaf
המטרה,the goal
במהירות,quickly
השיחה,the conversation
עזוב,abandoned
הגב,back
ולי,and me
שמור,save
לרדת,down
אמש,last night
סוכן,agent
הכוח,the power
עסק,business
נקי,net
המספר,the number
חברי,my friends
להכניס,put in
אדי,eddie
הארי,harry
קצר,short
טעם,taste
יוצאים,going out
שכולם,everyone
לס,les
מלבד,only
עסקה,transaction
במשחק,in the game
מובן,sense
מסכים,agree
חושש,afraid
תתקשר,call
לזמן,for time
דומה,like
הגיעו,arrived
ריק,empty
הגיעה,arrived
מבט,look
לבקר,visit
נראים,seem
התמונה,the picture
פתאום,suddenly
שאר,rest
הצלחתי,i succeeded.
באת,you came.
ין,yen
חמישה,five
הים,the sea
סם,drug
גדולים,big
כוס,glass
בעניין,in the matter
שינה,sleep
הרגליים,the feet
זקן,old
ייק,yak
להצטרף,join
טוני,tony
צעד,step
אממ,um
קלארק,clark
הרצח,the murder
ט,ninth
בדיחה,joke
תנסה,try.
להוריד,download
האחרונות,the latest
מסביב,around
כריס,chris
אריק,eric
יכולות,capabilities
אביא,i will bring
שאנשים,that people
qsubs,qsubs
קראתי,i read
כועס,angry
להרוס,destroy
בשר,meat
שאפשר,possible
להקשיב,listen
הגעתי,i arrived
מראה,appearance
כלשהו,any
האוכל,the food
אק,ek
תעזוב,leave.
מבינים,understand
מתנה,gift
ייקח,will take
לגור,live
תיק,portfolio
שונים,various
משתמש,user
לאמא,for mother
מאחר,since
אמיתית,real
חוקי,legal
מאות,hundreds
נוח,comfortable
מצאו,found
ברוך,blessed
רגיל,accustomed
עזב,left
מאושר,approved
ההזדמנות,the opportunity
שישה,six
משחקים,games
ף,f
המלחמה,the war
הפתעה,surprise
ניו,new
איבדתי,i lost
נמאס,tired
תעזור,help
השיער,the hair
מגיעה,coming
שזאת,that this
הנקודה,the point
באזור,in the area
לאסוף,collect
קבל,capacitor
אחראי,responsible
מילים,words
באותה,at the same time
המזל,luck
המפתח,the key
תסתכלי,look.
סגור,closed
בטוחים,safe
בתי,my daughter
מהיר,fast
למוות,to death
הטובה,the best
הכלב,the dog
אשתו,his wife
תאמין,believe
מבלי,without
קרב,battle
רבות,many
לכמה,for how many
אוו,oh
הגעת,you arrived
וחצי,and a half
סבא,grandfather
בר,bar
מיני,sexual
תקבל,you will receive
יושב,sitting
הרופא,the doctor
הרוצח,the killer
תשכח,forget
גישה,access
בנים,boys
רצינית,serious
שיער,hair
יחזור,will return
בילי,billy
הרגל,habit
סיפרתי,i told
בכדי,in order to
אספר,i will tell
סטיב,steve
הגענו,we arrived
נתת,you gave
מגוחך,ridiculous
שיר,song
מביא,brings
חשב,accountant
טומי,tommy
רצתה,wanted
אמת,truth
בובי,bobby
להתחתן,marry
כיוון,direction
לאבא,for dad
להציע,offer
מהבית,from home
חומר,material
להחליף,replace
שקורה,what is happening?
קטנים,small
כוכב,star
משקה,drink
ידוע,known
הולדת,birth
יחסים,relationships
קו,line
האוויר,the air
קייט,kate
איימי,amy
איננו,we are gone.
הקורבן,the victim
זכות,right
חייו,his life
הורג,kills
אוויר,air
מנת,portion
אחיך,your brother
תא,cell
כתב,writing
תזדיין,fuck you
בקלות,easily
הכדור,the ball
כולו,all of it
פתח,opening
חוזרת,returning
פגשתי,i met
מארק,mark
להיראות,to look
כשהם,when they
הנשים,the women
יעבוד,will work
אשתך,your wife
מאה,century
תוהה,wondering
תשמע,listen.
ולכן,therefore
הבנת,understood
הטובים,the good ones
ברוכים,welcome
יבוא,import
אחות,sister
משפחת,family
אדום,red
עצוב,sad
זוזו,move
לרוץ,run
ייסון,jason
פתוח,open
גבירותיי,ladies
סמל,symbol
השמש,the sun
שוטרים,police officers
דלת,door
למשרד,to the office
בשום,in any
מגיעים,arrive
ואולי,and maybe
העסק,the business
רכב,vehicle
אליהם,to them
דן,dan
כולל,including
אמצא,i will find
הממ,hmm
להזמין,reserve
חמודה,cute
זהירות,caution
דיברנו,we talked.
אחרות,others
לשחרר,release
רעב,hunger
מסוגלת,capable
תחזיק,hold on.
משקר,lying
לאהוב,love
עצמה,herself
לעיר,to the city
ם,m
שאי,shai
שמתי,i put
אד,ed
שנתיים,two years
חזקה,holding
סקוט,scott
חירום,emergency
רבותיי,gentlemen
הגופה,the body
התחלתי,initial
השיר,the song
תספר,tell me.
מודה,thanking
הרגת,you killed
אחוז,percent
אחריו,after him
האש,the fire
איכפת,do you care?
לאתר,locate
יראה,fear
שכדאי,it is worth it
המשימה,the mission
נוסע,passenger
בלש,detective
לחבר,connect
לזרוק,throw
בעלך,your husband
ניתוח,analysis
לדעתי,in my opinion
אצלי,at my place
לרקוד,dance
מוכרח,forced
הרוח,the wind
לשלוט,control
צעירה,young woman
מעוניין,interested
מודאג,concerned
העתיד,the future
דפוק,screwed
עץ,tree
וכך,and so
ועם,and with
באמצעות,through
פרטי,private
מפשע,offense
לשכנע,convince
בינתיים,in the meantime
תאונה,accident
ואיך,and how
תיתן,give
במשהו,in something
בגדים,clothes
דון,don
אינה,ina
אחריי,after me
חודש,month
עוף,chicken
האור,the light
תפסתי,i caught
i,i
בריאן,brian
שהן,which are
אישור,approval
חלום,dream
מבטיחה,promises
תכנית,plan
אמריקה,america
לנקות,clean
אהרוג,i will kill.
קרא,read
נכנסת,entering
הצליח,succeeded
צריכות,needs
ביקש,requested
ניסיון,experience
רוברט,robert
שותה,drinks
רגל,foot
יומיים,two days
שעברה,passed
לוותר,give up
לפנות,evacuate
נצא,let's go out.
מתחילה,beginning
ניקח,we will take
התפקיד,the role
להיפגש,to meet
טרי,fresh
בתחת,in the ass
לוק,luke
פשע,crime
גנב,thief
מסתבר,probable
גבירתי,my lady
חוק,law
מחפשת,looking for
למשהו,for something
הבאת,you brought
ראיות,evidence
וזו,and this is
מכה,blow
הפך,opposite
עברו,past
קלי,kelly
אמה,aqueduct
החלטה,decision
מטר,meter
וולטר,walter
שאלתי,i asked
נהג,driver
אטפל,i will handle
פיט,pete
אשם,guilty
קיים,exists
שבאת,you came.
שחשבתי,i thought
ואי,and
ממשיך,continuing
לשכוח,forget
עשרים,twenty
נחזור,we will be back.
התקשרתי,i called.
קלייר,claire
מזמן,long ago
תה,tea
תשומת,attention
הקול,the voice
ביקשתי,i asked
לכיוון,towards
הבחורים,the boys
בשבילו,for him
הצד,the side
למשך,for the duration
אנה,anna
ומי,and who?
משרד,office
הקודמים,previous
מאט,matt
תבוא,come
שתרצה,you may wish
הגבר,the man
במרחק,at a distance
ליום,per day
התשובה,the answer
בידי,in my hands
שהייתה,was
הביא,brought
כשאת,when you
מתגעגע,nostalgic
עברתי,i passed
מאמינים,believers
מקבלת,accepting
ואן,van
הרגתי,i killed
קייל,kyle
שאעשה,i will do
עתה,now
שלם,whole
מקשיב,listening
תתחיל,start
ערך,value
ענק,giant
חשבון,invoice
יקר,expensive
חברת,company
שבי,captivity
החתונה,the wedding
ללבוש,wear
קרובים,relatives
תאמר,you will say
מעורב,involved
וויל,will
טיפשי,stupid
לאורך,along
במיטה,in bed
הממשלה,the government
נושא,carrier
אנדי,andy
